,title,writer,pony,dialog
1732,Bridle Gossip,Amy Keating Rogers,Applejack,"I'm comin' for ya, Apple Bloom!"
1733,Bridle Gossip,Amy Keating Rogers,Rainbow Dash,Aaah!
1734,Bridle Gossip,Amy Keating Rogers,Applejack,"Whoa there. Easy, Rainbow Crash."
1735,Bridle Gossip,Amy Keating Rogers,Twilight Sparkle,What have you done with Apple Bloom?
1736,Bridle Gossip,Amy Keating Rogers,Rainbow Dash,Ahh!
1739,Bridle Gossip,Amy Keating Rogers,Twilight Sparkle,"We're onto you Zecora. I didn't want to believe that you cursed us, but the evidence is overwhelming!"
1740,Bridle Gossip,Amy Keating Rogers,Rarity,You made me look ridiculous.
1741,Bridle Gossip,Amy Keating Rogers,Fluttershy,You made me sound ridiculous!
1742,Bridle Gossip,Amy Keating Rogers,Pinkie Pie,[incoherent] You made me speak ridiculous!
1743,Bridle Gossip,Amy Keating Rogers,Twilight Sparkle,You ruined my horn!
1745,Bridle Gossip,Amy Keating Rogers,Rainbow Dash,"You put this curse on us, now you're gonna uncurse us."
1747,Bridle Gossip,Amy Keating Rogers,Twilight Sparkle,Where is Apple Bloom!?
1748,Bridle Gossip,Amy Keating Rogers,Apple Bloom,Zecora! I think I found all the things ya asked for. What in Ponyville is goin' on here?
1749,Bridle Gossip,Amy Keating Rogers,Applejack,[gasp] Apple Bloom! You're okay!
1750,Bridle Gossip,Amy Keating Rogers,Apple Bloom,Why wouldn't I be?
1751,Bridle Gossip,Amy Keating Rogers,Twilight Sparkle,Because Zecora is an evil enchantress who cursed us and was gonna cook you up into soup!
1752,Bridle Gossip,Amy Keating Rogers,Apple Bloom,Oh Twilight. Did those silly fillies finally get in yer head? You know there's no such thing as a curse.
1753,Bridle Gossip,Amy Keating Rogers,Twilight Sparkle,"Apple Bloom, sweetie. You can't just stand there and tell me this isn't a curse."
1754,Bridle Gossip,Amy Keating Rogers,Apple Bloom,This isn't a curse.
1756,Bridle Gossip,Amy Keating Rogers,Apple Bloom,It was a warnin'. About that blue plant. It's called Poison Joke.
1758,Bridle Gossip,Amy Keating Rogers,Applejack,What in the hay does that mean?
1760,Bridle Gossip,Amy Keating Rogers,Applejack,Will somepony please talk normal?
1761,Bridle Gossip,Amy Keating Rogers,Twilight Sparkle,"I think what she's saying is that when we ran in to save Apple Bloom, we ran into the poison joke. All our problems are just little jokes it played on us."
1762,Bridle Gossip,Amy Keating Rogers,Applejack,Little jokes?! Very funny.
1763,Bridle Gossip,Amy Keating Rogers,Rainbow Dash,"Okay, fine. But what about the cauldron?"
1764,Bridle Gossip,Amy Keating Rogers,Fluttershy,And the chanting?
1765,Bridle Gossip,Amy Keating Rogers,Rarity,And the creepy d<e9>cor?
1767,Bridle Gossip,Amy Keating Rogers,Rarity,"Not welcoming at all, if you ask me."
1769,Bridle Gossip,Amy Keating Rogers,Twilight Sparkle,But the cauldron... The Apple Bloom soup?
1770,Bridle Gossip,Amy Keating Rogers,Apple Bloom,"Lookie here Twilight. That pot of water wasn't for me, it was for all these herbal ingredients. The cure for poison joke is a simple old-natural remedy. You just gotta take a bubble bath!"
1771,Bridle Gossip,Amy Keating Rogers,Twilight Sparkle,But I tried to find a cure in all my books and couldn't find anything. What book has this natural remedy?
1773,Bridle Gossip,Amy Keating Rogers,Twilight Sparkle,"Actually, I do have this book, but I didn't look inside because the title was so... Weird. Supernaturals: Natural Remedies and Cure-alls That Are Simply Super. I...I... I'm so sorry, Zecora. I had the answer the whole time, if only I had bothered to look inside."
1775,Bridle Gossip,Amy Keating Rogers,Apple Bloom,Hahaha.
1776,Bridle Gossip,Amy Keating Rogers,Twilight Sparkle,Zecora? Would you be kind enough to mix up another batch of the herbal bath?
1778,Bridle Gossip,Amy Keating Rogers,Apple Bloom,"But whenever Zecora comes to town, all the shops are mysteriously closed."
1779,Bridle Gossip,Amy Keating Rogers,Twilight Sparkle,"Oh, well... I think we can help you with that."
1784,Bridle Gossip,Amy Keating Rogers,Twilight Sparkle,"Daisy, we need to talk."
1785,Bridle Gossip,Amy Keating Rogers,Twilight Sparkle,"Dear Princess Celestia,"
1786,Bridle Gossip,Amy Keating Rogers,Twilight Sparkle,"My friends and I all learned an important lesson this week: Never judge a book by its cover. Someone may look unusual, or funny, or scary. But you have to look past that and learn who they are inside. Real friends don't care what your ""cover"" is; it's the ""contents"" of a pony that count. And a good friend, like a good book, is something that will last forever."
1790,Bridle Gossip,Amy Keating Rogers,Apple Bloom,"Applejack! Hey, where's Applejack?!"
1791,Bridle Gossip,Amy Keating Rogers,Applejack,"[normal voice] I'm right here, little sis. I ain't tiny no more!"
1792,Bridle Gossip,Amy Keating Rogers,Rarity,Oh! I have never felt so lovely in all my life!
1793,Bridle Gossip,Amy Keating Rogers,Pinkie Pie,"Oh, my gosh! I never realized how horrible it is not to be able to talk. I mean, I love talking so much, and when I couldn't talk anymore, my tongue was all 'ehhhh'! It was the worst! Don't you agree, Fluttershy?"
1794,Bridle Gossip,Amy Keating Rogers,Fluttershy,[normal voice] ... Yes.
1795,Swarm of the Century,M. A. Larson,Fluttershy,"La, la la, la la, la la, la la. Thank you little squirrel, but remember: these flowers are for Princess Celestia. Only the prettiest ones will do. La, la la, la la, la la, la la."
1796,Swarm of the Century,M. A. Larson,Fluttershy,Gah!
1797,Swarm of the Century,M. A. Larson,Fluttershy,"Hello, little guy. I've never seen anything like you before."
1798,Swarm of the Century,M. A. Larson,Fluttershy,"Oh, are you hungry? Here you go. [gasp] I guess you were hungry."
1799,Swarm of the Century,M. A. Larson,Fluttershy,You're the cutest thing ever! I can't wait to show you to my friends.
1800,Swarm of the Century,M. A. Larson,Twilight Sparkle,"Oh! Hurry up, Spike! This place isn't gonna clean itself."
1801,Swarm of the Century,M. A. Larson,Spike,It also didn't mess itself up.
1802,Swarm of the Century,M. A. Larson,Twilight Sparkle,Princess Celestia will be here tomorrow!
1803,Swarm of the Century,M. A. Larson,Spike,I thought this was just an unofficial casual visit.
1804,Swarm of the Century,M. A. Larson,Twilight Sparkle,"There's nothing casual about a visit from royalty. I want this place to be spotless, and you've barely made a dent in the clutter."
1805,Swarm of the Century,M. A. Larson,Spike,"Maybe you should, ugh, start reading them one at a time-- whoa ho! Aw."
1806,Swarm of the Century,M. A. Larson,Twilight Sparkle,Everything's got to be perfect. No time for fooling around.
1807,Swarm of the Century,M. A. Larson,Spike,"You know, this would be an awful lot easier if there weren't two of us here getting under each other's feet."
1808,Swarm of the Century,M. A. Larson,Twilight Sparkle,"Great idea. You clean, I'll go see how everyone else's preparations are coming."
1809,Swarm of the Century,M. A. Larson,Twilight Sparkle,What happened to the rest of her name?
1811,Swarm of the Century,M. A. Larson,Twilight Sparkle,"You can't hang a banner that says ""Welcome Princess Celest"". Take it down and try again."
1812,Swarm of the Century,M. A. Larson,Twilight Sparkle,That looks perfect. Keep up the good work.
1813,Swarm of the Century,M. A. Larson,Twilight Sparkle,"Hello, Mr. and Mrs. Cake. How's the banquet coming?"
1815,Swarm of the Century,M. A. Larson,Twilight Sparkle,Pinkie! What are you doing? Those sweets are supposed to be for the princess.
1816,Swarm of the Century,M. A. Larson,Pinkie Pie,"I know. That's why I'm tasting them. Somepony needs to make sure that everything is tasty enough to touch the royal tongue, and I, Pinkie Pie, declare that these treats are fit for a king, or a queen, or a princess."
1817,Swarm of the Century,M. A. Larson,Fluttershy,"Twilight, Pinkie, you won't believe... oh, I'm sorry. Uh, am I interrupting?"
1818,Swarm of the Century,M. A. Larson,Pinkie Pie,"No, not at all. Come on in and make yourself at home. [slurp] What's going on, Fluttershy?"
1819,Swarm of the Century,M. A. Larson,Fluttershy,"You won't believe what I found at the edge of the Everfree Forest. Come on out, little guy. It's okay."
1820,Swarm of the Century,M. A. Larson,Fluttershy,[gasp] Three?
1821,Swarm of the Century,M. A. Larson,Twilight Sparkle,They're amazing. What are they?
1822,Swarm of the Century,M. A. Larson,Fluttershy,I'm not sure. I'm also not sure where these other two came from.
1823,Swarm of the Century,M. A. Larson,Twilight Sparkle,"I'll take one off your hooves. I've never seen anything so... adorable. Besides, it'll be nice to have a companion for Spike so he won't bother me so much while I'm studying."
1824,Swarm of the Century,M. A. Larson,Fluttershy,"Pinkie, do you want the other one?"
1825,Swarm of the Century,M. A. Larson,Pinkie Pie,Ugh! A parasprite? Are you kidding?
1826,Swarm of the Century,M. A. Larson,Fluttershy,Ugh?
1827,Swarm of the Century,M. A. Larson,Twilight Sparkle,A para-what?
1828,Swarm of the Century,M. A. Larson,Fluttershy,How could you not like...
1829,Swarm of the Century,M. A. Larson,Pinkie Pie,Ugh. Now I gotta go find a trombone.
1830,Swarm of the Century,M. A. Larson,Twilight Sparkle,A what?
1831,Swarm of the Century,M. A. Larson,Twilight Sparkle,"Ahhh, typical Pinkie."
1832,Swarm of the Century,M. A. Larson,Rarity,"Stand still, Rainbow Dash."
1833,Swarm of the Century,M. A. Larson,Rainbow Dash,"Ugh, I caaan't, I need to flyyy! This is waaay too boring for me."
1834,Swarm of the Century,M. A. Larson,Rarity,Do you want to look nice for Princess Celestia or not?
1835,Swarm of the Century,M. A. Larson,Twilight Sparkle,"Wow. Rarity, those outfits are gorgeous."
1836,Swarm of the Century,M. A. Larson,Rarity,"Mmhmm. Thank you, Twilight. Nice to know someone appreciates my talents."
1837,Swarm of the Century,M. A. Larson,Rainbow Dash,"Ugh, sooo boooring."
1838,Swarm of the Century,M. A. Larson,Rarity,Huh?
1839,Swarm of the Century,M. A. Larson,Rainbow Dash,"What's that sound, Twilight?"
1840,Swarm of the Century,M. A. Larson,Rainbow Dash,"Wow, what are they?"
1841,Swarm of the Century,M. A. Larson,Twilight Sparkle,"The better question is, where did they come from? I only had one a minute ago."
1842,Swarm of the Century,M. A. Larson,Rainbow Dash,"Uh, I'll take one."
1843,Swarm of the Century,M. A. Larson,Rarity,"Me too, oh, they're perfect."
1844,Swarm of the Century,M. A. Larson,Pinkie Pie,Does anypony know where I can find an accordion?
1845,Swarm of the Century,M. A. Larson,Pinkie Pie,Girls! Hello! This is important. Durgh! Thanks a lot.
1846,Swarm of the Century,M. A. Larson,Twilight Sparkle,"[sigh] The decorations, the banquet, I really hope everything comes together in time for tomorrow."
1847,Swarm of the Century,M. A. Larson,Twilight Sparkle,"Oh, [yawn] what's there to worry about?"
1848,Swarm of the Century,M. A. Larson,Twilight Sparkle,Spike! Wake up! What happened?
1849,Swarm of the Century,M. A. Larson,Spike,Huh? Whaaa! What's going on?
1850,Swarm of the Century,M. A. Larson,Twilight Sparkle,Where did they come from?
1851,Swarm of the Century,M. A. Larson,Spike,"I don't know. The little guy got hungry in the night, so I gave him a snack, but... I have no idea where these others came from. Oh no! They're messing up all my hard work!"
1852,Swarm of the Century,M. A. Larson,Twilight Sparkle,The princess will be here in a few hours.
1853,Swarm of the Century,M. A. Larson,Spike,Ugh.
1854,Swarm of the Century,M. A. Larson,Twilight Sparkle,"Spike, help me round up these little guys."
1855,Swarm of the Century,M. A. Larson,Spike,"Ugh, what does it look like I'm doin'? Ooow, waaah! D'oh. I know, I know, ""stop fooling around""."
1856,Swarm of the Century,M. A. Larson,Rainbow Dash,Huh? Huh?! [screech] [grunt] [groan] Get off me! [groan] [grunt] Waaa!
1857,Swarm of the Century,M. A. Larson,Rarity,"Not only are you adorable, but you're also quite useful."
1858,Swarm of the Century,M. A. Larson,Rarity,Oh! Are you okay? Aaah! [gasp] Eewww. Aaah! Gross gross gross! No creature that behaves so revoltingly is allowed in my boutique!
1859,Swarm of the Century,M. A. Larson,Pinkie Pie,"Look Rarity, Applejack loaned me a harmonica. [plays harmonica] Isn't that great?"
1860,Swarm of the Century,M. A. Larson,Pinkie Pie,[gasp] And not a moment too soon.
1861,Swarm of the Century,M. A. Larson,Rarity,"Ugh, Pinkie, I'm a little busy right now."
1862,Swarm of the Century,M. A. Larson,Pinkie Pie,"And I'm not? You know how many more instruments I've gotta find? A lot, that's how many. Now if we split the list between us, we might just make it in time."
1863,Swarm of the Century,M. A. Larson,Rarity,"Please, Pinkie, I don't have time for some silly scavenger hunt. I've got a real problem."
1864,Swarm of the Century,M. A. Larson,Pinkie Pie,"You've got a real problem, all right. And a banjo is the only answer!"
1865,Swarm of the Century,M. A. Larson,Rarity,[gasp] I see we're having the same problem.
1866,Swarm of the Century,M. A. Larson,Rainbow Dash,Ditto!
1867,Swarm of the Century,M. A. Larson,Twilight Sparkle,"Fluttershy knows everything about animals, I'm sure she can tell us how to stop them from multiplying."
1868,Swarm of the Century,M. A. Larson,Twilight Sparkle,...or not.
1869,Swarm of the Century,M. A. Larson,Twilight Sparkle,"Ugh, do something Fluttershy, can't you control them?"
1870,Swarm of the Century,M. A. Larson,Fluttershy,"I've tried everything I know: I've tried begging, and pleading, and beseeching, and asking politely and..."
1871,Swarm of the Century,M. A. Larson,Rainbow Dash,Guh.
1872,Swarm of the Century,M. A. Larson,Twilight Sparkle,"If we can't get them under control before the princess arrives, it'll be a total disaster."
1873,Swarm of the Century,M. A. Larson,Rarity,"Ew! If you ask me, it's already a total disaster."
1874,Swarm of the Century,M. A. Larson,Applejack,"Here's all those apples you wanted, Fluttershy, but I still can't figure why y'need so many. Hey!"
1875,Swarm of the Century,M. A. Larson,Fluttershy,What do we do?
1876,Swarm of the Century,M. A. Larson,Twilight Sparkle,[gasp] I got it! Nopony can herd like Applejack.
1877,Swarm of the Century,M. A. Larson,Rainbow Dash,Yeah! We can drive 'em back into the forest.
1878,Swarm of the Century,M. A. Larson,Applejack,"[scoffs] I'll rastle 'em up, but I need everypony's help to do it. Twilight, you and Rarity wait over there. I'll herd the little critters straight at ya like a funnel. Rainbow Dash, you and Fluttershy stay on top of 'em, don't let 'em fly away."
1879,Swarm of the Century,M. A. Larson,Rainbow Dash,Aye aye.
1880,Swarm of the Century,M. A. Larson,Applejack,Yeeeeeee-haw!
1881,Swarm of the Century,M. A. Larson,Applejack,"Alright y'all, here goes nothin'. Look out Rarity, that one's fixin' to get away. Keep a lead on 'em, Rainbow Dash! Hold on girls, we're almost there."
1882,Swarm of the Century,M. A. Larson,Twilight Sparkle,Pinkie!
1883,Swarm of the Century,M. A. Larson,Pinkie Pie,"Twilight, we don't have much time."
1884,Swarm of the Century,M. A. Larson,Twilight Sparkle,You're telling me. The princess could arrive at any moment.
1885,Swarm of the Century,M. A. Larson,Pinkie Pie,Exactly. That's why I need you gals to drop what you're doing and help me find some maracas.
1886,Swarm of the Century,M. A. Larson,Twilight Sparkle,"Maracas? Pinkie, we've got much bigger problems than missing maracas."
1887,Swarm of the Century,M. A. Larson,Pinkie Pie,"[gasp] You're right! Getting a tuba has to be our number one goal. Follow me. I said, follow me!"
1888,Swarm of the Century,M. A. Larson,Rainbow Dash,"Pinkie Pie, you are so random."
1889,Swarm of the Century,M. A. Larson,Pinkie Pie,And you are all so stubborn!
1890,Swarm of the Century,M. A. Larson,Applejack,Forget her ladies. Focus. Head 'em up and move 'em out.
1891,Swarm of the Century,M. A. Larson,Fluttershy,Ouch.
1892,Swarm of the Century,M. A. Larson,Twilight Sparkle,"We did it. Nice work, Applejack."
1893,Swarm of the Century,M. A. Larson,Applejack,Couldn't a'done it without y'all.
1894,Swarm of the Century,M. A. Larson,Twilight Sparkle,Now let's get back and clean up the mess they made before the princess arrives.
1895,Swarm of the Century,M. A. Larson,Twilight Sparkle,"Okay, everyone knows what to do, right? We gotta work extra hard to make up for lost time."
1896,Swarm of the Century,M. A. Larson,Twilight Sparkle,Where did they come from?
1897,Swarm of the Century,M. A. Larson,Fluttershy,"Well, I may have kept just one. Heh. I couldn't help myself. They're just so cute."
1898,Swarm of the Century,M. A. Larson,Twilight Sparkle,We don't have time to keep rounding up these things. What do we do now?
1899,Swarm of the Century,M. A. Larson,Rainbow Dash,Time to take out the adorable trash. YAAAAAA!
1900,Swarm of the Century,M. A. Larson,Twilight Sparkle,"[grunt] Way to go, Rainbow Dash!"
1901,Swarm of the Century,M. A. Larson,Applejack,Looks like our problems are solved.
1902,Swarm of the Century,M. A. Larson,Pinkie Pie,They will be with these cymbals. [crash] Hey! Give me those back!
1903,Swarm of the Century,M. A. Larson,Rainbow Dash,Whoa. Yaa! Yow! Whoa! Wow! I can't hold it! She's breaking up.
1904,Swarm of the Century,M. A. Larson,Twilight Sparkle,"Pinkie Pie, what have you done?"
1905,Swarm of the Century,M. A. Larson,Pinkie Pie,"I've lost a brand new pair of cymbals, that's what I've done."
1906,Swarm of the Century,M. A. Larson,Twilight Sparkle,Will you forget about your silly instruments for one second? You're ruining our efforts to save Ponyville.
1907,Swarm of the Century,M. A. Larson,Pinkie Pie,"Me? Ruin? I'm not the ruiner, I'm the ruin-ee! Or is it ruiness? Ruinette?"
1908,Swarm of the Century,M. A. Larson,Applejack,"Come on girls, there's no reasoning with that one. She's a few apples short of a bushel."
1909,Swarm of the Century,M. A. Larson,Pinkie Pie,Hey! I'm trying to tell you all that the ruining is on the other hoof. If you'd just slow down and listen to me!
1911,Swarm of the Century,M. A. Larson,Fluttershy,What do we do? They're eating all the food in town.
1912,Swarm of the Century,M. A. Larson,Applejack,[gasp] My apples!
1913,Swarm of the Century,M. A. Larson,Twilight Sparkle,We've gotta do something. [gasps] I got it! I'll cast a spell to make them stop eating all the food.
1914,Swarm of the Century,M. A. Larson,Rainbow Dash,"Heh. Hey, it worked. They're not eating the food anymore."
1915,Swarm of the Century,M. A. Larson,Rarity,Oh no... if they get inside my store... Everypony for herself!
1916,Swarm of the Century,M. A. Larson,Pinkie Pie,I'll save you!
1917,Swarm of the Century,M. A. Larson,Applejack,No woodland creature's gonna eat the Apple Family's crop.
1918,Swarm of the Century,M. A. Larson,Applejack,"Brace yourself, y'all, here they come. [gasp] Didn't see that one comin'."
1919,Swarm of the Century,M. A. Larson,Spike,Help!
1920,Swarm of the Century,M. A. Larson,Spike,Help...
1922,Swarm of the Century,M. A. Larson,Twilight Sparkle,"Zecora, these little guys are devouring Ponyville, and the princess is on her way. Can you help us, please?"
1924,Swarm of the Century,M. A. Larson,Twilight Sparkle,I don't know! Is it?
1926,Swarm of the Century,M. A. Larson,Twilight Sparkle,"[grunts] Oh no, here she comes."
1928,Swarm of the Century,M. A. Larson,Twilight Sparkle,"Okay, here's the plan. Rainbow Dash, you distract them."
1929,Swarm of the Century,M. A. Larson,Rainbow Dash,YAAAA!
1930,Swarm of the Century,M. A. Larson,Twilight Sparkle,"Good. Everyone else, we need to build an exact copy of Ponyville right over there. We've got less than a minute. Zecora was right, we're doomed. Oh no, the princess's procession is here. It's all over!"
1931,Swarm of the Century,M. A. Larson,Twilight Sparkle,Pinkie? We're in the middle of a crisis here. This is no time for your... nonsense?
1932,Swarm of the Century,M. A. Larson,Twilight Sparkle,Look.
1934,Swarm of the Century,M. A. Larson,Twilight Sparkle,"Hello, princess."
1936,Swarm of the Century,M. A. Larson,Twilight Sparkle,So... how was the trip? Hit much traffic?
1938,Swarm of the Century,M. A. Larson,Rainbow Dash,They're not that adorable.
1940,Swarm of the Century,M. A. Larson,Twilight Sparkle,"Parade? Oh. Yes, the parade."
1942,Swarm of the Century,M. A. Larson,Twilight Sparkle,An... infestation?
1944,Swarm of the Century,M. A. Larson,Twilight Sparkle,Trouble? What trouble?
1946,Swarm of the Century,M. A. Larson,Twilight Sparkle,My... report?
1948,Swarm of the Century,M. A. Larson,Twilight Sparkle,"Actually, I have. I've learned that sometimes the solution to your problems can come from where you least expect it. It's a good idea to stop and listen to your friends' opinions and perspectives..."
1949,Swarm of the Century,M. A. Larson,Twilight Sparkle,Even when they don't always seem to make sense.
1951,Swarm of the Century,M. A. Larson,Twilight Sparkle,"Thank you, princess."
1952,Swarm of the Century,M. A. Larson,Pinkie Pie,"Hey, what happened to the princess?"
1953,Swarm of the Century,M. A. Larson,Twilight Sparkle,Emergency in Fillydelphia.
1954,Swarm of the Century,M. A. Larson,Rainbow Dash,Some sort of infestation.
1955,Swarm of the Century,M. A. Larson,Pinkie Pie,"Oh no! Have they got parasprites too? Well, have tuba, will travel."
1956,Swarm of the Century,M. A. Larson,Twilight Sparkle,I think the princess can handle it.
1957,Swarm of the Century,M. A. Larson,Applejack,"So you knew what those critters were all along, huh Pinkie Pie?"
1958,Swarm of the Century,M. A. Larson,Pinkie Pie,"Well, duh! Why do you think I was so frantic to get my hooves on all these instruments? I tried to tell you."
1959,Swarm of the Century,M. A. Larson,Twilight Sparkle,"We know, Pinkie Pie, and we're sorry we didn't listen."
1960,Swarm of the Century,M. A. Larson,Twilight Sparkle,"You're a great friend, even if we don't always understand you."
1961,Swarm of the Century,M. A. Larson,Pinkie Pie,"Thanks guys, you're all great friends too, even when I don't understand me."
1962,Swarm of the Century,M. A. Larson,Twilight Sparkle,"You saved my reputation with Princess Celestia, and more importantly, you saved Ponyville."
1963,Swarm of the Century,M. A. Larson,Twilight Sparkle,...Or not.
1964,Winter Wrap Up,Cindy Morrow,Twilight Sparkle,"[gasp] Spike, wake up. Wake up, wake up, it's Winter Wrap Up day!"
1965,Winter Wrap Up,Cindy Morrow,Spike,Huh? Mommy?
1966,Winter Wrap Up,Cindy Morrow,Twilight Sparkle,Winter Wrap Up!
1967,Winter Wrap Up,Cindy Morrow,Spike,You're not mommy.
1968,Winter Wrap Up,Cindy Morrow,Twilight Sparkle,"Spike, the first day of spring is tomorrow, so everypony in Ponyville needs to clean up winter. Now help me get ready."
1969,Winter Wrap Up,Cindy Morrow,Spike,Clean up winter? Who cleans up winter? Don't they just use magic to change the seasons like they do in Canterlot?
1970,Winter Wrap Up,Cindy Morrow,Spike,It's ridiculous. No magic... Fuh.
1971,Winter Wrap Up,Cindy Morrow,Twilight Sparkle,"Okay, let's see: scarf, check; saddle, check; boots, check; Spike refusing to get up and going back to sleep, check. It's a good thing I'm so organized, I'm ready. Bright and early. Oh... maybe a little too early."
1972,Winter Wrap Up,Cindy Morrow,Twilight Sparkle,"Those must be the team vests Rarity designed. Blue for the weather team, green for the plant team, and tan for the animal team. I wonder which team vest I'll be wearing."
1973,Winter Wrap Up,Cindy Morrow,Spike,"I'll take a blue vest, same color as my blankie, which I think I hear calling my name. ""Spike! Spike! Come to bed!"" Ugh, it's too early."
1976,Winter Wrap Up,Cindy Morrow,Twilight Sparkle,"Oh, this is so exciting."
1978,Winter Wrap Up,Cindy Morrow,Twilight Sparkle,"Oh gosh, where should I go? I'm not sure where I fit in. What exactly does everypony do?"
1979,Winter Wrap Up,Cindy Morrow,Rainbow Dash,Three months of winter coolness And awesome holidays
1980,Winter Wrap Up,Cindy Morrow,Pinkie Pie,We've kept our hoovsies warm at home Time off from work to play
1981,Winter Wrap Up,Cindy Morrow,Applejack,But the food we've stored is runnin' out And we can't grow in this cold
1982,Winter Wrap Up,Cindy Morrow,Rarity,And even though I love my boots This fashion's getting old
1983,Winter Wrap Up,Cindy Morrow,Twilight Sparkle,"The time has come to welcome spring And all things warm and green But it's also time to say goodbye It's winter we must clean How can I help? I'm new, you see What does everypony do? How do I fit in without magic? I haven't got a clue!"
1985,Winter Wrap Up,Cindy Morrow,Applejack,'Cause tomorrow spring<U+0096>
1986,Winter Wrap Up,Cindy Morrow,Rainbow Dash,<U+0096>is here!
1988,Winter Wrap Up,Cindy Morrow,Rainbow Dash,Bringing home the southern birds A Pegasus' job begins And clearing all the gloomy skies To let the sunshine in We move the clouds And we melt the white snow
1991,Winter Wrap Up,Cindy Morrow,Rarity,Little critters hibernate Under the snow and ice
1992,Winter Wrap Up,Cindy Morrow,Fluttershy,We wake up all their sleepy heads So quietly and nice
1993,Winter Wrap Up,Cindy Morrow,Rarity,We help them gather up their food Fix their homes below
1994,Winter Wrap Up,Cindy Morrow,Fluttershy,We welcome back the southern birds
1997,Winter Wrap Up,Cindy Morrow,Applejack,"No easy task to clear the ground Plant our tiny seeds With proper care and sunshine Everyone it feeds Apples, carrots, celery stalks Colorful flowers too We must work so very hard"
2000,Winter Wrap Up,Cindy Morrow,Pinkie Pie,'Cause tomorrow spring is here
2002,Winter Wrap Up,Cindy Morrow,Twilight Sparkle,"Now that I know what they all do I have to find my place And help with all of my heart Tough task ahead I face How will I do without my magic Help the Earth pony way I wanna belong so I must Do my best today, Do my best today!"
2004,Winter Wrap Up,Cindy Morrow,Twilight Sparkle,'Cause tomorrow spring is here 'Cause tomorrow spring is here 'Cause tomorrow spring is here!
2005,Winter Wrap Up,Cindy Morrow,Twilight Sparkle,Everypony belongs to a team. What should I do? Where should I go?
2006,Winter Wrap Up,Cindy Morrow,Rainbow Dash,"All right team, you're clear for takeoff."
2007,Winter Wrap Up,Cindy Morrow,Twilight Sparkle,Rainbow Dash!
2008,Winter Wrap Up,Cindy Morrow,Rainbow Dash,"Oh, hey Twilight, what's up?"
2009,Winter Wrap Up,Cindy Morrow,Twilight Sparkle,What are you doing?
2010,Winter Wrap Up,Cindy Morrow,Rainbow Dash,Sending off one of my flight crews to retrieve the birds that have flown south for the winter.
2011,Winter Wrap Up,Cindy Morrow,Twilight Sparkle,"Oh, can I help? How about if I help clear out the clouds?"
2012,Winter Wrap Up,Cindy Morrow,Rainbow Dash,Um...
2013,Winter Wrap Up,Cindy Morrow,Twilight Sparkle,Right. No wings.
2014,Winter Wrap Up,Cindy Morrow,Rainbow Dash,"Sorry, Twilight."
2015,Winter Wrap Up,Cindy Morrow,Twilight Sparkle,"[gasp] Great, now what do we do?"
2016,Winter Wrap Up,Cindy Morrow,Twilight Sparkle,"Come on Spike, this is serious business. Winter needs to be wrapped up, and I'm determined to do my part. Somehow."
2017,Winter Wrap Up,Cindy Morrow,Twilight Sparkle,"Rarity, please tell me there's something, anything I can help you with."
2018,Winter Wrap Up,Cindy Morrow,Rarity,"Well, how would you like to help create Ponyville's finest birds' nests?"
2019,Winter Wrap Up,Cindy Morrow,Twilight Sparkle,Birds' nests?
2020,Winter Wrap Up,Cindy Morrow,Rarity,"Why yes. When the weather team guides the birds back north for the spring, they'll need a place to live and lay their eggs."
2021,Winter Wrap Up,Cindy Morrow,Twilight Sparkle,"Wow, Rarity, that one's really beautiful."
2022,Winter Wrap Up,Cindy Morrow,Rarity,"Oh why, thank you most sincerely. Would you like to try your hoof at a nest?"
2023,Winter Wrap Up,Cindy Morrow,Twilight Sparkle,Would I? Yes! Where do I begin?
2024,Winter Wrap Up,Cindy Morrow,Rarity,"Okay. Now... uh, take some of that straw and hay over there, and a little bit of branch. Now, weave them through there, yes. Uh, take some ribbon, yes, oh uh, n... not there, oooh, yes, uh, tuck it in over there, uh but be careful not to... I don't know I guess that would do... oh dear."
2025,Winter Wrap Up,Cindy Morrow,Twilight Sparkle,There! It looks just like... yours. Oh my.
2026,Winter Wrap Up,Cindy Morrow,Spike,That nest needs to be condemned.
2027,Winter Wrap Up,Cindy Morrow,Rarity,"Oh, Spa-ha-hike, it's not so bad, ah, maybe birds can use it as a..."
2028,Winter Wrap Up,Cindy Morrow,Spike,An outhouse?
2029,Winter Wrap Up,Cindy Morrow,Twilight Sparkle,Hw...
2030,Winter Wrap Up,Cindy Morrow,Spike,I think we lost her.
2031,Winter Wrap Up,Cindy Morrow,Rarity,"Ah, and we need to weave the string..."
2032,Winter Wrap Up,Cindy Morrow,Pinkie Pie,"Hellooooooo, Twilight! Wheeeeeeee!"
2033,Winter Wrap Up,Cindy Morrow,Twilight Sparkle,"Wow, Pinkie Pie, you're quite the skater. Probably the best skater I've ever seen."
2034,Winter Wrap Up,Cindy Morrow,Pinkie Pie,"Thanks Twilight, I've been doing this since I was an itty-bitty little-wittle Twinkie-Pinkie. Just comes natural. Which is probably why they designated me the lake scorer. I cut lines in the lakes with my skates. That way, when the rest of the weather team comes here to break the ice, it'll be easy as pie."
