index,title,writer,pony,dialog,emotion_chatgpt,season
5966,Sisterhooves Social,Cindy Morrow,Sweetie Belle,"But, I thought it would make you happy!",joy,2
5967,Sisterhooves Social,Cindy Morrow,Rarity,Happy?! Happy?! I<U+0096> [grinds teeth] I just need some time alone. Hm!,anger,2
5968,Sisterhooves Social,Cindy Morrow,Apple Bloom,How's the sleepover at Rarity's goin'?,joy,2
5969,Sisterhooves Social,Cindy Morrow,Sweetie Belle,"[mimicking Rarity] Why, it's smashing!",joy,2
5970,Sisterhooves Social,Cindy Morrow,Apple Bloom,Huh?,surprise,2
5971,Sisterhooves Social,Cindy Morrow,Sweetie Belle,I just wish we could do something special together that didn't include me goofing anything up.,sadness,2
5972,Sisterhooves Social,Cindy Morrow,Apple Bloom,The Sisterhooves Social! Applejack an' I do it every year! You an' Rarity can compete against other sister teams in all these neat events!,joy,2
5973,Sisterhooves Social,Cindy Morrow,Sweetie Belle,That sounds like the perfect way for us to hang out! Rarity will think it's an excellent idea.,joy,2
5974,Sisterhooves Social,Cindy Morrow,Rarity,What a ridiculous idea. A contest at Sweet Apple Acres? It doesn't sound... very... clean.,disgust,2
5975,Sisterhooves Social,Cindy Morrow,Sweetie Belle,"So, what, now you're back to hating messes?",anger,2
5976,Sisterhooves Social,Cindy Morrow,Rarity,"Sweetie Belle, watch your tone! I am still your big sister.",anger,2
5977,Sisterhooves Social,Cindy Morrow,Sweetie Belle,Right! And any sister who cares about her sister goes!,joy,2
5978,Sisterhooves Social,Cindy Morrow,Rarity,Sweetie Belle...! Honestly! Playing silly little games in the dirt is just... uncouth! With or without a sister.,disgust,2
5979,Sisterhooves Social,Cindy Morrow,Sweetie Belle,"Well then! Maybe, maybe I'll try the Sisterhooves Social without a sister! In fact, I think I'll try the rest of my life without a sister!",anger,2
5980,Sisterhooves Social,Cindy Morrow,Rarity,"[gasp] Oh, I'm the one who's ruining your life?! Really?! Have you looked around this place? I'm the one who'd be better off with no sister!",anger,2
5981,Sisterhooves Social,Cindy Morrow,Sweetie Belle,Well it looks like we finally agree on something! Neither of us needs a sister!,joy,2
5982,Sisterhooves Social,Cindy Morrow,Rarity,Deal!,joy,2
5983,Sisterhooves Social,Cindy Morrow,Sweetie Belle,"Deal! Goodbye, un-sister!",joy,2
5984,Sisterhooves Social,Cindy Morrow,Rarity,Hmph!,anger,2
5985,Sisterhooves Social,Cindy Morrow,Applejack,'Uncouth'? She said the Sisterhooves Social was 'uncouth'?,anger,2
5986,Sisterhooves Social,Cindy Morrow,Apple Bloom,Yeah! Uncouth? [belch] Wait. What's uncouth?,surprise,2
5987,Sisterhooves Social,Cindy Morrow,Sweetie Belle,It's not just the Social. She thinks I'm uncouth.,sadness,2
5988,Sisterhooves Social,Cindy Morrow,Applejack,"Honey, Rarity thinks everything's uncouth.",disgust,2
5989,Sisterhooves Social,Cindy Morrow,Apple Bloom,[with mouth full] What's uncouth?,neutral,2
5990,Sisterhooves Social,Cindy Morrow,Applejack,"It means uncivil. Y'know, bad mannered?",disgust,2
5991,Sisterhooves Social,Cindy Morrow,Applejack,"Exactly. Sweetie Belle, just give Rarity some time. She'll come around. Sisters always do.",joy,2
5992,Sisterhooves Social,Cindy Morrow,Sweetie Belle,Not sisters like Rarity.,neutral,2
5993,Sisterhooves Social,Cindy Morrow,Applejack,"Come on, now. Apple Bloom and I got some chores to finish up on. Maybe you can help!",joy,2
5994,Sisterhooves Social,Cindy Morrow,Sweetie Belle,You sure you want me to help? I just mess everything up!,fear,2
5995,Sisterhooves Social,Cindy Morrow,Applejack,"Oh, come on, that's just stinkin' thinkin'. Watch!",joy,2
5996,Sisterhooves Social,Cindy Morrow,Applejack,"Good catch there, Apple Bloom! Whoo!",joy,2
5997,Sisterhooves Social,Cindy Morrow,Sweetie Belle,This is a chore?,anger,2
5998,Sisterhooves Social,Cindy Morrow,Applejack,"Since we can't sell the bruised apples, we gotta collect them all for the pigs to eat.",neutral,2
5999,Sisterhooves Social,Cindy Morrow,Apple Bloom,"It's a lot of work, so we make a game of it. Wanna try?",joy,2
6000,Sisterhooves Social,Cindy Morrow,Sweetie Belle,"Um, okay. Ow! You're right, it is hard work.",surprise,2
6001,Sisterhooves Social,Cindy Morrow,Apple Bloom,That's why we do it...,neutral,2
6003,Sisterhooves Social,Cindy Morrow,Sweetie Belle,"Huh, Rarity never wants to do chores together.",sadness,2
6004,Sisterhooves Social,Cindy Morrow,Rarity,"Ugh, all that work ruined, thanks to Sweetie Belle. Oh my. It's usually a big mess in here. [gasp] Id-ee-a! This is genius! I shall call it 'full spectrum fashions'! If Sweetie Belle hadn't<U+0096> [clears throat] Well, no matter. She still shouldn't have touched my things without permission. Hm!",anger,2
6005,Sisterhooves Social,Cindy Morrow,Applejack,Apple Bloom! You're up!,joy,2
6006,Sisterhooves Social,Cindy Morrow,Sweetie Belle,You're... making... grape juice? Rarity would call the fashion police on me if I got grape juice anywhere near her precious outfits.,disgust,2
6007,Sisterhooves Social,Cindy Morrow,Apple Bloom,"Well, that's silly!",joy,2
6008,Sisterhooves Social,Cindy Morrow,Applejack,Apple Bloom...,neutral,2
6009,Sisterhooves Social,Cindy Morrow,Sweetie Belle,"Please, Applejack, she didn't mean<U+0096>",neutral,2
6010,Sisterhooves Social,Cindy Morrow,Applejack,"How d'you like them grapes, y'little whippersnapper!",joy,2
6011,Sisterhooves Social,Cindy Morrow,Rarity,"Now to get these fabrics washed for my fabulous new line. Ooh, my favorite sweater... I just can't believe that Sweetie Belle.",sadness,2
6012,Sisterhooves Social,Cindy Morrow,Rarity,"Oh, Opal-wopal! It's as if Sweetie Belle knew the sweater was perfect for you. And Sweetie Belle should consider herself perfectly lucky that this thoughtless mishap turned out all right. Hm.",joy,2
6013,Sisterhooves Social,Cindy Morrow,Applejack,Apple Bloom!,joy,2
6014,Sisterhooves Social,Cindy Morrow,Apple Bloom,"Got it, sis!",joy,2
6015,Sisterhooves Social,Cindy Morrow,Sweetie Belle,Wow. It's as if they were just one pony.,surprise,2
6017,Sisterhooves Social,Cindy Morrow,Applejack,"Way to corral some critters, sis!",joy,2
6019,Sisterhooves Social,Cindy Morrow,Sweetie Belle,Rarity never high-hoofs me.,sadness,2
6020,Sisterhooves Social,Cindy Morrow,Rarity,"Perfect! Just one more, and this ensemble is fini! Rrgh, Sweetie Belle! Where's her silly little arts and crafts project?",anger,2
6021,Sisterhooves Social,Cindy Morrow,Rarity,"Oh, Sweetie Belle! My one and only sister! What have I done? All the time I could have spent with you was wasted complaining and wishing you were gone! [crying dramatically] Woe is me! No! I must get her back! I must! As Celestia is my witness, I shall never be sisterless again!",sadness,2
6022,Sisterhooves Social,Cindy Morrow,Rarity,"[gasp] Sweetie Belle! Oh, I have been galloping all over looking for you. I<U+0096>",joy,2
6023,Sisterhooves Social,Cindy Morrow,Sweetie Belle,"Oh hello, un-sister. What are you doing here? Better be careful, you might get some dust on you.",disgust,2
6024,Sisterhooves Social,Cindy Morrow,Rarity,"Oh, Sweetie Belle, I want to apologize. I am not better off without a sister.",sadness,2
6025,Sisterhooves Social,Cindy Morrow,Sweetie Belle,I'm not better off without a sister either. Spending the day with Applejack and Apple Bloom made me realize that.,sadness,2
6026,Sisterhooves Social,Cindy Morrow,Rarity,"Oh, Sweetie, you don't know how happy I am to hear<U+0096>",joy,2
6027,Sisterhooves Social,Cindy Morrow,Sweetie Belle,And that's why I'm adopting Applejack as my big sister!,joy,2
6028,Sisterhooves Social,Cindy Morrow,Rarity,What?!,surprise,2
6029,Sisterhooves Social,Cindy Morrow,Applejack,What?!,surprise,2
6030,Sisterhooves Social,Cindy Morrow,Apple Bloom,What?!,surprise,2
6031,Sisterhooves Social,Cindy Morrow,Sweetie Belle,A sister is someone who loves and takes care of another sister. Applejack's a real sister.,joy,2
6032,Sisterhooves Social,Cindy Morrow,Applejack,"H-Hold on, Sweetie Belle. Don't get ahead of yourself here.",fear,2
6033,Sisterhooves Social,Cindy Morrow,Apple Bloom,"Besides, she's my big sister!",joy,2
6034,Sisterhooves Social,Cindy Morrow,Applejack,"Yeah, um<U+0096>",neutral,2
6035,Sisterhooves Social,Cindy Morrow,Sweetie Belle,"[to Rarity] Or maybe she should be your sister, so she could teach you what a good sister is supposed to be!",anger,2
6036,Sisterhooves Social,Cindy Morrow,Applejack,"Heh, um, actually, I<U+0096>",neutral,2
6037,Sisterhooves Social,Cindy Morrow,Rarity,"But I don't need lessons on being a good sister, I-I promise! Listen! I'll show you how to cook my favorite quiche! Or, or, I'll show you the proper way to beautify your mane. Won't that be fun? Hm?",joy,2
6038,Sisterhooves Social,Cindy Morrow,Sweetie Belle,"Hm! You want me to go home with you, so we can do what you wanna do?",surprise,2
6039,Sisterhooves Social,Cindy Morrow,Rarity,Uh... yes?,neutral,2
6040,Sisterhooves Social,Cindy Morrow,Sweetie Belle,Just forget it!,anger,2
6041,Sisterhooves Social,Cindy Morrow,Apple Bloom,"We're still sisters, right?",joy,2
6042,Sisterhooves Social,Cindy Morrow,Rarity,"Well, that apology went swimmingly. Applejack, why do you have to be so good and make me look so bad?",sadness,2
6043,Sisterhooves Social,Cindy Morrow,Applejack,"[chuckles] Oh Rarity, once again you're thinkin' about yourself. Bein' sisters is a give and take. You've been doin' a whole lotta takin', but you haven't been doin' a whole lotta givin'.",anger,2
6044,Sisterhooves Social,Cindy Morrow,Rarity,But of course I give. I give lessons. Reasonable demands.,joy,2
6045,Sisterhooves Social,Cindy Morrow,Applejack,"But ya never give in. Bein' sisters is like... apple pie. You can have amazin' apples, and you can have a wonderfully crispy crust, but only together you can have a perfect apple pie.",joy,2
6046,Sisterhooves Social,Cindy Morrow,Rarity,"But apart, all we are is just a pile of mush and some crumbly dry mess... [gasp] I know what I need to do! I just hope it isn't too late!",fear,2
6047,Sisterhooves Social,Cindy Morrow,Sweetie Belle,"Well, I guess it's a good thing Rarity isn't here. Do I see 'uncouth' written all over this contest?",disgust,2
6048,Sisterhooves Social,Cindy Morrow,Apple Bloom,Look at the size of that pig!,surprise,2
6049,Sisterhooves Social,Cindy Morrow,Applejack,He sure is a cutie.,joy,2
6050,Sisterhooves Social,Cindy Morrow,Sweetie Belle,"That's the last word Rarity would use. [mimicking Rarity] Oh my, what a repulsive monstrosity! This thing needs a head to toe makeover!",disgust,2
6051,Sisterhooves Social,Cindy Morrow,Applejack,It's almost time!,joy,2
6052,Sisterhooves Social,Cindy Morrow,Sweetie Belle,"Well, you two have fun. Sure wish I had a sister to run the race with. Huh?",sadness,2
6053,Sisterhooves Social,Cindy Morrow,Apple Bloom,You do now!,surprise,2
6054,Sisterhooves Social,Cindy Morrow,Applejack,AB and I figured since we do this every year...,neutral,2
6055,Sisterhooves Social,Cindy Morrow,Apple Bloom,I'd let you borrow my sis so you can give it a try!,joy,2
6056,Sisterhooves Social,Cindy Morrow,Applejack,Sister for a day.,joy,2
6057,Sisterhooves Social,Cindy Morrow,Sweetie Belle,No way!,surprise,2
6058,Sisterhooves Social,Cindy Morrow,Apple Bloom,One. Day. One. Day.,neutral,2
6060,Sisterhooves Social,Cindy Morrow,Sweetie Belle,That's us.,neutral,2
6061,Sisterhooves Social,Cindy Morrow,Apple Bloom,One. Day. Good luck!,joy,2
6063,Sisterhooves Social,Cindy Morrow,Sweetie Belle,"You okay, Applejack?",neutral,2
6064,Sisterhooves Social,Cindy Morrow,Sweetie Belle,"Applejack, help!",fear,2
6065,Sisterhooves Social,Cindy Morrow,Sweetie Belle,"You can do it, sister!",joy,2
6066,Sisterhooves Social,Cindy Morrow,Apple Bloom,"Ooh, so close! You almost won!",joy,2
6067,Sisterhooves Social,Cindy Morrow,Sweetie Belle,"Thank you, Applejack! You were amazing! I don't even care that we didn't win. This was so much fun! Huh? Rarity?! Wait, where's Applejack?",joy,2
6068,Sisterhooves Social,Cindy Morrow,Sweetie Belle,I don't get it.,neutral,2
6069,Sisterhooves Social,Cindy Morrow,Applejack,[chuckles] We switched places over at the very first mudhole.,joy,2
6070,Sisterhooves Social,Cindy Morrow,Sweetie Belle,"So, we did the whole competition... together?",surprise,2
6071,Sisterhooves Social,Cindy Morrow,Rarity,"That we did, little sister. Well, except for the start line.",joy,2
6072,Sisterhooves Social,Cindy Morrow,Apple Bloom,But you finished together!,joy,2
6073,Sisterhooves Social,Cindy Morrow,Sweetie Belle,You mean... you were all in on it?,surprise,2
6075,Sisterhooves Social,Cindy Morrow,Sweetie Belle,You did this for me?,joy,2
6076,Sisterhooves Social,Cindy Morrow,Rarity,Us. I did it for us. You see? We are apple pie!,joy,2
6077,Sisterhooves Social,Cindy Morrow,Sweetie Belle,Huh?,surprise,2
6078,Sisterhooves Social,Cindy Morrow,Rarity,"Uh, I'll explain later. For now, I think we deserve a celebration!",joy,2
6080,Sisterhooves Social,Cindy Morrow,Sweetie Belle,Where?,neutral,2
6081,Sisterhooves Social,Cindy Morrow,Rarity,"The spa, of course.",joy,2
6082,Sisterhooves Social,Cindy Morrow,Sweetie Belle,"Oh, Rarity.",joy,2
6083,Sisterhooves Social,Cindy Morrow,Rarity,"No, I-I-I'm serious.",surprise,2
6084,Sisterhooves Social,Cindy Morrow,Rarity,"Very well then, what should we write to the Princess?",neutral,2
6085,Sisterhooves Social,Cindy Morrow,Sweetie Belle,I'll start. Having a sister is just about the bestest thing in the world. But it sure isn't the easiest.,joy,2
6086,Sisterhooves Social,Cindy Morrow,Rarity,"I agree that being sisters is a wonderful thing, but it takes teamwork. Sometimes it's about compromising. Sometimes it's about accepting each others' differences. But mostly, it's about having fun together. Even if it means getting your hooves a little bit dirty.",joy,2
6087,Sisterhooves Social,Cindy Morrow,Sweetie Belle,A lot dirty.,disgust,2
6088,Sisterhooves Social,Cindy Morrow,Rarity,A little bit dirty.,disgust,2
6089,Sisterhooves Social,Cindy Morrow,Sweetie Belle,A lot dirty.,disgust,2
6090,Sisterhooves Social,Cindy Morrow,Rarity,A little bit dirty!,disgust,2
6091,Sisterhooves Social,Cindy Morrow,Sweetie Belle,A lo<U+0096>,neutral,2
6092,Sisterhooves Social,Cindy Morrow,Spike,"Hold it, hold it! How about ""a medium amount of dirty, not too little, not too much, just right""?",surprise,2
6094,The Cutie Pox,Amy Keating Rogers,Apple Bloom,"Today's the day, Cutie Mark Crusaders! I can just feel it! Today's the day we are all gonna get our cutie marks in... bowlin'!",joy,2
6095,The Cutie Pox,Amy Keating Rogers,Scootaloo,Whoo-hoo!,joy,2
6096,The Cutie Pox,Amy Keating Rogers,Sweetie Belle,"[muffled] Whooo! [spits out bag] I mean, yaay!",surprise,2
6097,The Cutie Pox,Amy Keating Rogers,Apple Bloom,"Why, after today, we won't even be the Cutie Mark Crusaders anymore! We'll be the... the Three Strikes!",joy,2
6098,The Cutie Pox,Amy Keating Rogers,Scootaloo,That makes us sound like we've struck out.,sadness,2
6099,The Cutie Pox,Amy Keating Rogers,Apple Bloom,Mmm. How 'bout the Pin Twins?,joy,2
6100,The Cutie Pox,Amy Keating Rogers,Sweetie Belle,But there are three of us.,neutral,2
6101,The Cutie Pox,Amy Keating Rogers,Apple Bloom,Okay then... Um... the Bowlin' Dolls!,surprise,2
6102,The Cutie Pox,Amy Keating Rogers,Sweetie Belle,The Bowling Dolls! That's it!,joy,2
6103,The Cutie Pox,Amy Keating Rogers,Scootaloo,Perfect!,joy,2
6104,The Cutie Pox,Amy Keating Rogers,Apple Bloom,All righty then! Let's bowl 'em over!,joy,2
6105,The Cutie Pox,Amy Keating Rogers,Apple Bloom,Phpoo!,disgust,2
6107,The Cutie Pox,Amy Keating Rogers,Apple Bloom,I did it! I did it! Blank?,joy,2
6108,The Cutie Pox,Amy Keating Rogers,Apple Bloom,But... but... what about my ball?,sadness,2
6109,The Cutie Pox,Amy Keating Rogers,Sweetie Belle,"That bowling sure was fun, even if all I got was gutter balls.",joy,2
6110,The Cutie Pox,Amy Keating Rogers,Scootaloo,"Yeah, at least you were able to keep your ball in your lane. I don't think Mr. Kingpin is ever gonna let me play again! Hey, maybe I could get my cutie mark in demolition!",joy,2
6111,The Cutie Pox,Amy Keating Rogers,Scootaloo,"Aw, come on, Apple Bloom.",joy,2
6112,The Cutie Pox,Amy Keating Rogers,Sweetie Belle,I know just what you need to put the bloom back on your apple.,joy,2
6113,The Cutie Pox,Amy Keating Rogers,Sweetie Belle,A treat from Sugarcube Corner will cheer you up.,joy,2
6114,The Cutie Pox,Amy Keating Rogers,Apple Bloom,"No, it won't.",neutral,2
6115,The Cutie Pox,Amy Keating Rogers,Pinkie Pie,A party will cheer you up!,joy,2
6116,The Cutie Pox,Amy Keating Rogers,Apple Bloom,"No, it won't.",neutral,2
6117,The Cutie Pox,Amy Keating Rogers,Rarity,A lovely new chapeau will cheer you up.,joy,2
6118,The Cutie Pox,Amy Keating Rogers,Apple Bloom,"No, it won't.",neutral,2
6119,The Cutie Pox,Amy Keating Rogers,Scootaloo,"Come on, Apple Bloom, it's just a cutie mark!",joy,2
6120,The Cutie Pox,Amy Keating Rogers,Sweetie Belle,Or lack of a cutie mark!,sadness,2
6121,The Cutie Pox,Amy Keating Rogers,Scootaloo,"Shh! That's not helping! Apple Bloom! Where are you going?! Apple Bloom, come back!",fear,2
6122,The Cutie Pox,Amy Keating Rogers,Apple Bloom,Whoa! Ah! Ooh! Ow! Nnnn...,surprise,2
6126,The Cutie Pox,Amy Keating Rogers,Apple Bloom,"[with a lisp] I've tried everything, Zecora, and still no cutie mark! Well, I'm gonna be as old as Granny Smith and still have a blank flank!",sadness,2
6128,The Cutie Pox,Amy Keating Rogers,Apple Bloom,"[with a lisp] Ugh, I've heard that from every pony I know! And now from every zebra I know! I'm just too impatient to be patient. I just want my cutie mark and I want it now!",anger,2
6130,The Cutie Pox,Amy Keating Rogers,Apple Bloom,"[glug, glug] Oh my star apples, you did it, Zecora! Golly, you have tonics that heal all sorts of ailments. Bad bones, bad back, bad breath...",joy,2
6132,The Cutie Pox,Amy Keating Rogers,Apple Bloom,"And not only stuff that fixes the bad, but stuff that brings the good! Good health, good hair... good heavens! Hmm... I bet you can mix up a brew to fix... anything.",joy,2
6134,The Cutie Pox,Amy Keating Rogers,Apple Bloom,Fine. Whatcha got goin' on there?,neutral,2
6136,The Cutie Pox,Amy Keating Rogers,Apple Bloom,"Hey, I've seen that flower bloomin' in Ponyville! What is it?",joy,2
6138,The Cutie Pox,Amy Keating Rogers,Apple Bloom,"Zowie! Heart's Desire, huh?",surprise,2
6140,The Cutie Pox,Amy Keating Rogers,Apple Bloom,"Yeah, you go, you go.",joy,2
6141,The Cutie Pox,Amy Keating Rogers,Sweetie Belle,I'm so hungry.,neutral,2
6142,The Cutie Pox,Amy Keating Rogers,Scootaloo,"Yeah, I can't wai--",neutral,2
6144,The Cutie Pox,Amy Keating Rogers,Sweetie Belle,"Um, Apple Bloom... what is it?",neutral,2
6145,The Cutie Pox,Amy Keating Rogers,Scootaloo,Yeah! Is it an 'o'? Is your talent spelling?,joy,2
6146,The Cutie Pox,Amy Keating Rogers,Sweetie Belle,Or is it a ring? Are you a jewelry maker?,neutral,2
6148,The Cutie Pox,Amy Keating Rogers,Apple Bloom,"No, it's a loop-de-hoop!",surprise,2
6149,The Cutie Pox,Amy Keating Rogers,Scootaloo,[gasp] A what now?,surprise,2
6150,The Cutie Pox,Amy Keating Rogers,Apple Bloom,"A loop-de-hoop! 'Least, that's what I always called it. Applejack made it for me from an old rain barrel when I was littler! Who woulda thought that loop-de-hoop would end up bein' my special talent?",joy,2
6151,The Cutie Pox,Amy Keating Rogers,Sweetie Belle,"Wow, Apple Bloom, that's amazing!",joy,2
6154,The Cutie Pox,Amy Keating Rogers,Apple Bloom,"Oh, you ain't seen nothin' yet.",surprise,2
6155,The Cutie Pox,Amy Keating Rogers,Scootaloo,"Apple Bloom, you're super-duper-loop-de-hooper!",joy,2
6156,The Cutie Pox,Amy Keating Rogers,Apple Bloom,"Thanks, everypony!",joy,2
6159,The Cutie Pox,Amy Keating Rogers,Apple Bloom,"Yes, Miss Cheerilee?",neutral,2
6161,The Cutie Pox,Amy Keating Rogers,Apple Bloom,"Don't worry, gals. Keep at it and you might get to be half as good as me!",anger,2
6163,The Cutie Pox,Amy Keating Rogers,Apple Bloom,"Great job, girls!",joy,2
6164,The Cutie Pox,Amy Keating Rogers,Sweetie Belle,"You're too kind, Apple Bloom.",joy,2
6165,The Cutie Pox,Amy Keating Rogers,Scootaloo,"Yeah, we stink.",disgust,2
6166,The Cutie Pox,Amy Keating Rogers,Apple Bloom,"Nah, you just need a little practice. Soon you'll be able to... hoop and bop! Hoop and hop! [muffled] Hoop and skip! [normal] And hoop and flip!",joy,2
6168,The Cutie Pox,Amy Keating Rogers,Apple Bloom,"Well, all right, just a few more tricks. But be warned! These are advanced moves, not for beginners. Got that, Diamond Tiara?",joy,2
6169,The Cutie Pox,Amy Keating Rogers,Apple Bloom,I call this one the hoop-la! [makes helicopter noises] Huh? Oof!,surprise,2
6171,The Cutie Pox,Amy Keating Rogers,Apple Bloom,What? No they're not!,surprise,2
6177,The Cutie Pox,Amy Keating Rogers,Sweetie Belle,Two cutie marks?,surprise,2
6178,The Cutie Pox,Amy Keating Rogers,Scootaloo,Two talents?,surprise,2
6179,The Cutie Pox,Amy Keating Rogers,Apple Bloom,Aw yeah!,joy,2
6180,The Cutie Pox,Amy Keating Rogers,Sweetie Belle,Our friend is the most...,joy,2
6182,The Cutie Pox,Amy Keating Rogers,Apple Bloom,"Alright, everypony, You ready for a real show?",joy,2
6183,The Cutie Pox,Amy Keating Rogers,Applejack,"Yee-haw, little sis! Congratulations on gettin' not just one, but two cutie marks! We're mighty proud of you, right, Big McIntosh?",joy,2
6185,The Cutie Pox,Amy Keating Rogers,Applejack,"I've never seen anythin' like it. Have you, Big Mac?",surprise,2
6188,The Cutie Pox,Amy Keating Rogers,Applejack,"Why, Apple Bloom, I think you're ready to hit the rodeo circuit right now!",joy,2
6189,The Cutie Pox,Amy Keating Rogers,Apple Bloom,"Actually, I'm ready to hit the hay right now. I'm plum tuckered. I'll see y'all in the mornin'. Night!",joy,2
6190,The Cutie Pox,Amy Keating Rogers,Applejack,"Night! Oh my, little Apple Bloom has finally blossomed, hasn't she, Big Mac?",joy,2
6192,The Cutie Pox,Amy Keating Rogers,Applejack,"[grunting] What in tarnation is that? Apple Bloom, what is all that awful... tapping? [gasp] Three cutie marks?!",surprise,2
6193,The Cutie Pox,Amy Keating Rogers,Apple Bloom,Help me!,fear,2
6194,The Cutie Pox,Amy Keating Rogers,Apple Bloom,Help me!,fear,2
6195,The Cutie Pox,Amy Keating Rogers,Applejack,"C'mere, you! Ow! Ow! Whoa!",surprise,2
6196,The Cutie Pox,Amy Keating Rogers,Apple Bloom,"I'm sorry, Applejack! I dunno how to make it stop!",sadness,2
6197,The Cutie Pox,Amy Keating Rogers,Applejack,"Well, I know somepony who might!",joy,2
6198,The Cutie Pox,Amy Keating Rogers,Twilight Sparkle,Three cutie marks. Three talents. I've never seen anything like it! I was just reading something about unusual equine illnesses. What was it?,surprise,2
6199,The Cutie Pox,Amy Keating Rogers,Spike,"""Perplexing Pony Plagues"", perhaps?",surprise,2
6200,The Cutie Pox,Amy Keating Rogers,Twilight Sparkle,"Yes, Spike, you're amazing!",joy,2
6201,The Cutie Pox,Amy Keating Rogers,Spike,"Yes, well, I do have some talents.",neutral,2
6202,The Cutie Pox,Amy Keating Rogers,Twilight Sparkle,Hay fever... the trots... [gasp] Cutie pox!,surprise,2
6204,The Cutie Pox,Amy Keating Rogers,Twilight Sparkle,Cutie pox. This puzzling pony plague afflicted a population of ponies back in the Paleopony Period!,surprise,2
6205,The Cutie Pox,Amy Keating Rogers,Spike,"Heh, say that ten times fast!",joy,2
6206,The Cutie Pox,Amy Keating Rogers,Twilight Sparkle,"Random cutie marks appeared all over the ponies' bodies, causing them to perform all the talents that came with them!",joy,2
6207,The Cutie Pox,Amy Keating Rogers,Apple Bloom,Just like me!,joy,2
6208,The Cutie Pox,Amy Keating Rogers,Applejack,"Yes, but what's the cure? What's the cure?!",fear,2
6209,The Cutie Pox,Amy Keating Rogers,Twilight Sparkle,It says here there's no known cure!,fear,2
6211,The Cutie Pox,Amy Keating Rogers,Twilight Sparkle,"The cause of the breakout was never discovered, and the cutie pox disappears as mysteriously as they arrived!",joy,2
6212,The Cutie Pox,Amy Keating Rogers,Apple Bloom,"Oh, no! Sacr<e9> bleu! Plus de marques de cutie! [gasp] Qu'est-ce c'est?! Je parle Fran<e7>ais?!",surprise,2
6213,The Cutie Pox,Amy Keating Rogers,Applejack,My sister's speakin' in fancy!,joy,2
6214,The Cutie Pox,Amy Keating Rogers,Twilight Sparkle,She needs help!,fear,2
6215,The Cutie Pox,Amy Keating Rogers,Applejack,I know she needs help! We can't just wait for this to go away! We gotta find somepony to mix up a cure! And fast!,fear,2
6216,The Cutie Pox,Amy Keating Rogers,Apple Bloom,Tout de suite!,surprise,2
6217,The Cutie Pox,Amy Keating Rogers,Twilight Sparkle,Not some pony... some zebra!,surprise,2
6218,The Cutie Pox,Amy Keating Rogers,Applejack,Zecora!,surprise,2
6219,The Cutie Pox,Amy Keating Rogers,Applejack,"Hurry, hurry!",surprise,2
6220,The Cutie Pox,Amy Keating Rogers,Apple Bloom,D<e9>p<ea>chez-vous!,fear,2
6224,The Cutie Pox,Amy Keating Rogers,Spike,"No, she's not.",neutral,2
6225,The Cutie Pox,Amy Keating Rogers,Spike,She just has some weird mysterious disease with no known cure called cutie pox.,surprise,2
6228,The Cutie Pox,Amy Keating Rogers,Twilight Sparkle,Zecora! Apple Bloom has cutie pox! We were just on our way to see if you had a cure!,fear,2
6229,The Cutie Pox,Amy Keating Rogers,Applejack,But magically you're here! Was your zebra sense a-tinglin'?,surprise,2
6231,The Cutie Pox,Amy Keating Rogers,Apple Bloom,"I, um...",neutral,2
6233,The Cutie Pox,Amy Keating Rogers,Applejack,"Well, well then give 'em to her! Quick!",surprise,2
6235,The Cutie Pox,Amy Keating Rogers,Applejack,Come again?,surprise,2
6237,The Cutie Pox,Amy Keating Rogers,Applejack,"Well then let's get to it! Alright, they're planted, now somepony tell the truth!",joy,2
6238,The Cutie Pox,Amy Keating Rogers,Apple Bloom,"Whoa, whoa, whoa, whoa!",surprise,2
6239,The Cutie Pox,Amy Keating Rogers,Applejack,Somepony! Anypony!,fear,2
6240,The Cutie Pox,Amy Keating Rogers,Pinkie Pie,"Yesterday I told Mrs. Cake that I ate two corn cakes, but I really ate three! Okay, six! I ate six corn cakes! [cries] Make it stop! Oh, make it stop!",sadness,2
6241,The Cutie Pox,Amy Keating Rogers,Apple Bloom,"Wah, I can't stand it any more! It's me! I admit it! I didn't earn my cutie mark! They're all fake! I figured the Heart's Desire would help me get what I wanted most! So when Zecora left her hut, I mixed up a special potion and put the rest of the Heart's Desire in it!",disgust,2
6242,The Cutie Pox,Amy Keating Rogers,Apple Bloom,"[chomps, chews and swallows] Ahh.",joy,2
6243,The Cutie Pox,Amy Keating Rogers,Sweetie Belle,Apple Bloom!,joy,2
6244,The Cutie Pox,Amy Keating Rogers,Scootaloo,Are you okay?,neutral,2
6245,The Cutie Pox,Amy Keating Rogers,Apple Bloom,"I'm great, and I've never been happier to be a blank flank. But I'm awful sorry I lied, 'specially to you gals. I was so desperate for my cutie mark, I just got carried away. And I'm really sorry I snuck those flowers from you, Zecora. Why, I wouldn't blame you if you never wanted me to come by again.",sadness,2
6247,The Cutie Pox,Amy Keating Rogers,Twilight Sparkle,"Apple Bloom, would you mind writing to Princess Celestia and telling her what you've learned?",joy,2
6248,The Cutie Pox,Amy Keating Rogers,Apple Bloom,"I'd be happy to, Twilight! Spike?",joy,2
6249,The Cutie Pox,Amy Keating Rogers,Spike,Ready!,joy,2
